name,cuisine,cost,img_link,rating,n_ratings,address
Portman's Bar,"Bar, Cafe",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/67/37/96/atrium-lounge-set-against.jpg,5.0,287,"6 Raffles Boulevard Marina Square Level 4 At Parkroyal Collection Marina Bay, Singapore 039594 Singapore"
Song Garden,"Chinese, Asian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/26/3e/88/8b/caption.jpg,5.0,319,"122 Middle Road Mercure Singapore Bugis Level 2, Singapore 188973 Singapore"
Oscar's,"Singaporean, International",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/16/f3/bd/01/oscar-s-interior.jpg,4.5,"2,325","2 Temasek Boulevard Conrad Centennial, Lobby Level, Singapore 038982 Singapore"
Le Noir Bar & Lounge,"International, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/f4/01/a4/inside-of-le-noir-offers.jpg,5.0,248,"2 Bayfront Avenue Marina Bay Sands #01-84 The Shoppes at Marina Bay Sands, Singapore 018972 Singapore"
Akira Back,"Japanese, International",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/17/7f/a4/31/akira-back-yukhoe.jpg,4.5,"1,066","30 Beach Road, Access via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore"
Fu Lin Men Chinese Restaurant (SRC),"Chinese, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1b/ba/5e/3d/fu-lin-men-chinese-restaurant.jpg,5.0,193,"B Connaught Drive, S179682 Level 2, Singapore Recreation Club, Singapore 179682 Singapore"
Fu Lin Men Cantonese Dining,"Chinese, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/1d/0f/20/a1/takeaway-20-off-whole.jpg,5.0,291,"21 Amber Road Chinese Swimming Club, Singapore 439870 Singapore"
Flnt,"Peruvian, Japanese",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-f/1c/80/5d/45/sunset-drinks-at-the.jpg,5.0,125,"Level 55, 2 Orchard Turn ION Orchard, Singapore 238801 Singapore"
The Lobby Lounge at InterContinental Singapore,"Asian, Bar",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0a/82/db/59/royal-heritage-afternoon.jpg,4.5,675,"80 Middle Road Level 1, InterContinental Singapore, Singapore 188966 Singapore"
il Cielo,"Italian, Pizza",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/26/01/ef/0a/enjoy-hearty-italian.jpg,4.5,593,"581 Orchard Road Level 24, Voco Orchard Singapore, Singapore 238883 Singapore"
Dolce Vita,"Italian, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/10/a4/6b/c4/dolce-vita-fine-italian.jpg,4.5,864,"5 Raffles Avenue, Marina Square, Singapore 039797 Singapore"
Asian Market Cafe,"Asian, Singaporean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/8c/5a/5c/asian-market-cafe-interior.jpg,4.5,947,"80 Bras Basah Road, Singapore 189560 Singapore"
Melt Cafe,International,$$$$,https://media-cdn.tripadvisor.com/media/photo-s/10/a4/6d/9d/melt-cafe-international.jpg,4.5,"1,999","5 Raffles Avenue, Marina Square, Singapore 039797 Singapore"
Chef's Table by Chef Stephan Zoisl,"French, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0d/53/84/0c/hamachi-dill-celery-creme.jpg,5.0,453,"61 Tras Street, Singapore 079000 Singapore"
KOMA Singapore,"Japanese, Sushi",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/18/e9/3b/29/koma-main-dining-room.jpg,4.5,"1,074","The Shoppes at Marina Bay Sands, 2 Bayfront Ave, #B1-67, Singapore 018972 Singapore"
Soi Aroy,"Asian, Thai",$,https://media-cdn.tripadvisor.com/media/photo-s/1b/25/4d/3e/spread-the-word-authentic.jpg,5.0,198,"1 Rochor Canal Road Sim Lim Square 02-08 Sim Lim Square, Singapore 188504 Singapore"
Beach Road Kitchen,"Seafood, International",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/17/9b/f8/3b/restaurant-interiors.jpg,4.5,"1,479","30 Beach Road, Access Via Nicoll Highway JW Marriott Hotel Singapore South Beach, Singapore 189763 Singapore"
Zazz Pizza,"Italian, Pizza",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/19/9b/dc/62/parma-burrata-pizza-with.jpg,5.0,212,"18 Cross Street Cross Street Exchange #01-108 Cross Street Exchange, Singapore 048423 Singapore"
Heart of Darkness,"Mexican, Beer restaurants",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-f/17/7c/2d/77/line-up.jpg,5.0,187,"1 Keong Saik Road, Singapore 089109 Singapore"
Leo Cafe & Restaurant,"Cafe, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/02/f8/ae/44/leo-cafe-restaurant.jpg,4.5,486,"23 Middle Road #02-00 Populous Hotel Populous Hotel, Singapore 188933 Singapore"
Beast & Butterflies,"Asian, Fusion",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/0c/86/af/93/beast-butterflies.jpg,4.5,902,"90 Robertson Quay, Singapore 238259 Singapore"
Spago Bar & Lounge,"Bar, International",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/11/24/c9/94/getlstd-property-photo.jpg,4.5,683,"10 Bayfront Avenue Marina Bay Sands Tower 2 Floor 57 Marina Bay Sands, Singapore 018956 Singapore"
The Orchard Cafè,"Cafe, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/23/60/71/b6/charcoal-bbq.jpg,4.5,610,"442 Orchard Road Orchard Hotel Singapore The Orchard Hotel Singapore, Singapore 238879 Singapore"
Ginett Restaurant & Wine Bar,"French, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/12/2a/6a/87/ginett-restaurant-wine.jpg,4.5,"1,251","200 Middle Road Hotel G Singapore, Singapore 188980 Singapore"
Winestone,"Bar, European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/44/04/44/150-days-grain-fed-ms2.jpg,4.5,473,"30 Stevens Road #01-09, Singapore 257840 Singapore"
En Sushi,"Japanese, Sushi",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/15/34/f4/f5/assorted-sushi.jpg,4.5,382,"112 Middle Road Midland House #01-00B Midland House, Singapore 188970 Singapore"
ShuKuu Izakaya & Sake Bar,"Japanese, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1b/88/93/67/meatball-and-pork-belly.jpg,4.5,646,"8 Stanley Street, Singapore 068727 Singapore"
Golden Peony at Conrad Centennial Singapore,"Chinese, Asian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/16/ee/9f/03/interior-of-golden-peony.jpg,4.5,515,"2 Temasek Boulevard Condrad Hotels & Resorts, Singapore 038982 Singapore"
Baba Chews Bar and Eatery,"Asian, Singaporean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/17/15/66/ab/chilli-crab-tagliatelle.jpg,4.5,532,"86 E East Coast Road Katong Square Katong Square, Singapore 428788 Singapore"
The Line,"Seafood, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/15/b1/be/a2/the-line-buffet.jpg,4.5,"3,336","22 Orange Grove Road Shangri-La Hotel Tower Wing, Lower Lobby, Singapore 258350 Singapore"
Republic,"Seafood, International",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/1b/4a/84/republic-bar.jpg,4.5,468,"7 Raffles Avenue Ritz Carlton Millenia Singapore The Ritz-Carlton, Millenia Singapore, Singapore 039799 Singapore"
Black Tap - Singapore,"American, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/23/8c/9e/c5/caption.jpg,4.5,679,"10 Bayfront Avenue Marina Bay Sands, Singapore 018956 Singapore"
Cassia Restaurant,"Chinese, Asian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/02/3b/fe/1e/cassia-restaurant.jpg,4.5,308,"1 The Knolls Capella Hotel, Singapore 098297 Singapore"
Merci Marcel Tiong Bahru,"Cafe, Central European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/5b/0a/f9/photo1jpg.jpg,4.5,398,"56 Eng Hoon Street Tiong Bahru Estate Tiong Bahru, Singapore 160056 Singapore"
Alley on 25,"International, Singaporean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/11/be/18/78/icehaus-selections.jpg,4.5,632,"5 Fraser Street Level 25 Andaz Singapore, Singapore 189354 Singapore"
Meat N' Chill,"American, Steakhouse",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/bc/44/81/cheesecake-with-a-scoop.jpg,4.5,480,"805 Bukit Timah Road Sixth Avenue Centre #01-04, Singapore 279883 Singapore"
Mr Stork,Bar,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/12/0c/8b/8f/mr-stork-andaz-singapore.jpg,4.5,598,"5 Fraser Street Andaz Singapore Level 39, Andaz Singapore - a concept by Hyatt, Singapore 189354 Singapore"
My Awesome Cafe,"French, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/1a/ac/60/fd/my-awesome-cafe.jpg,4.5,"1,257","202 Telok Ayer Street, Singapore 068639 Singapore"
Takeshi Noodle Bar,"Japanese, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1e/d8/e7/f1/takeshi-noodle-bar.jpg,4.5,556,"12 Teck Lim Road Hotel Soloha, Singapore 088387 Singapore"
Yardbird Southern Table & Bar,"American, Bar",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/22/89/2f/97/chicken-n-watermelon.jpg,4.5,923,"2 Bayfront Avenue Marina Bay Sands B1-07, L1-82 The Shoppes, Marina Bay Sands, Singapore 018972 Singapore"
Hummus & Tandoor,"Lebanese, Turkish",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/19/18/ee/cc/26.jpg,4.5,301,"58 Arab Street, Singapore 199755 Singapore"
Kinou,"Wine Bar, French",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/7e/b5/fa/welcome-to-kinou.jpg,4.5,191,"2 Teck Lim Road, Singapore 088380 Singapore"
Astor Bar,"Bar, Wine Bar",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/19/96/ef/f5/photo1jpg.jpg,4.5,246,"29 Tanglin Road St. Regis Hotel Singapore The St. Regis Singapore level 1, Singapore 247911 Singapore"
Coucou Hotpot I12 Katong,"Asian, Taiwanese",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/26/cf/19/e5/front-facade.jpg,5.0,186,"112 E East Coast Road #04-05 112 Katong, Singapore 428802 Singapore"
Mott 32,"Chinese, Contemporary",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1b/c6/87/9e/apple-wood-roasted-42.jpg,4.5,339,"2 Bayfront Avenue B1-42-44, Galleria Level, The Shoppes at Marina Bay Sands, Singapore 018958 Singapore"
CouCou Hot Pot Jewel,"Asian, Taiwanese",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/26/d6/84/fa/frontage.jpg,5.0,323,"78 Airport Boulevard Jewel Changi Airport Floor 02 Unit 208 209, Singapore 819666 Singapore"
Joie Restaurant - Meatless Cuisine,"Asian, Contemporary",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1a/87/98/3a/joie-by-dozo.jpg,4.5,323,"181 Orchard Road Orchard Central #12-01 Orchard Central, Singapore 238896 Singapore"
The Communal Place,"Italian, American",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/d1/5f/20/the-communal-place.jpg,4.5,184,"465 Joo Chiat Road, Singapore 427677 Singapore"
The Ramen Stall,"Japanese, Sushi",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/13/c1/5e/39/abalone-ramen.jpg,4.5,474,"787 North Bridge Road, Singapore 198755 Singapore"
Spice Brasserie,"Seafood, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1b/74/ea/aa/restaurant-interior.jpg,4.5,611,"181 Kitchener Road Parkroyal On Kitchener Road PARKROYAL on Kitchener Road, Singapore 208533 Singapore"
Crossroads,Cafe,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/05/73/7b/d7/crossroads-cafe.jpg,4.5,"1,145","320 Orchard Road Singapore Marriott Tang Plaza Hotel Singapore Marriott Tang Plaza Hotel, Singapore 238865 Singapore"
CAPPAdocia TURKISH & MEDITERRANEAN RESTAURANT,Turkish,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-f/27/6d/bb/96/caption.jpg,5.0,180,"69 Bussorah Street A 3-min walk from the Masjid Sultan, Singapore 199482 Singapore"
Grissini,"Italian, Japanese",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/23/3b/e1/f9/grissini-caviar.jpg,4.5,274,"392 Havelock Road Grand Copthorne Waterfront Level 1 Grand Copthorne Waterfront Hotel, Singapore 169663 Singapore"
The Rose Veranda,International,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/6e/77/87/desserts.jpg,4.5,373,"22 Orange Grove Road, Shangri-La Hotel Tower Wing, Mezzanine Level, Singapore 258350 Singapore"
Peach Blossoms,"Chinese, Asian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/b8/09/82/peach-blossoms-main-dining.jpg,4.5,634,"6 Raffles Boulevard Level 5 Marina Square, Singapore 039594 Singapore"
LAVO Italian Restaurant & Rooftop Bar,"Italian, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/e0/56/f5/ladies-gentlemen-night.jpg,4.5,"1,885","10 Bayfront Avenue Marina Bay Sands Marina Bay Sands,, Singapore 018956 Singapore"
Lawry's The Prime Rib,"American, Steakhouse",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0a/a9/6f/f8/lawry-s-main-dining-hall.jpg,4.5,"1,628","333A Orchard Road Mandarin Gallery #04-01/31 Mandarin Gallery, Singapore 238897 Singapore"
Earle Swensen's - VivoCity,"Italian, Steakhouse",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/26/f8/0c/9c/the-chicken-katsu-baga.jpg,4.5,255,"1 Harbourfront Walk #02-117 Vivo City VivoCity, Singapore 098585 Singapore"
G7 Sin Ma Live Seafood Restaurant,"Chinese, Seafood",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/13/a6/39/54/black-pepper-crab.jpg,4.5,403,"161, 163 Geylang Road Lorong 3, #01-01/02, Singapore 389240 Singapore"
Escape Steakhouse & Poolside Bar,"American, Steakhouse",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/ab/87/e4/tajima-wagyu-striploin.jpg,4.0,425,"1 Farrer Park Station Road Connexion One Farrer Hotel, Singapore 217562 Singapore"
Manhattan,"American, Bar",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0f/2e/86/3e/manhattan-is-reminiscent.jpg,4.5,352,"1 Cuscaden Road Conrad Singapore Orchard, Singapore 249715 Singapore"
Greenleaf Cafe,"Indian, Asian",$,https://media-cdn.tripadvisor.com/media/photo-s/1a/14/dc/12/authentic-south-indian.jpg,4.5,173,"43, Cuff Road, Singapore 209753 Singapore"
Brasserie Les Saveurs,"French, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/11/99/19/13/20171226-195717-largejpg.jpg,4.5,904,"29 Tanglin Road St. Regis Hotel Singapore The St. Regis Singapore, Singapore 247911 Singapore"
MONTI,Italian,$$$$,https://media-cdn.tripadvisor.com/media/photo-f/19/5e/60/68/with-one-of-the-best.jpg,4.5,649,"Monti at 1-Pavilion, 82 Collyer Quay Monti At The Fullerton Pavilion, Singapore 049327 Singapore"
Wine & Chef,"Wine Bar, European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/27/7d/a5/lobster-capellini.jpg,4.5,429,"7 Keong Saik Road 01-01, Singapore 089115 Singapore"
BAKALAKI Greek Taverna,"Mediterranean, Greek",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/0f/80/a8/80/bakalaki.jpg,4.5,838,"38A Martin Road Martin No 38, Singapore 239072 Singapore"
MTR Singapore,"Indian, Healthy",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1a/d2/fb/d2/saagu-pudi-dosa.jpg,4.5,"1,716","438 Serangoon Road Opposite Sri Srinivasa Perumal Temple, Singapore 218133 Singapore"
Elixir Boutique Roasters,Cafe,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/ec/1a/ed/elixir-boutique-roasters.jpg,4.5,121,"10 Jalan Serene, #01-03A Serene Centre, Singapore 258748 Singapore"
Flutes,European,$$$$,https://media-cdn.tripadvisor.com/media/photo-s/06/c5/32/3d/flutes.jpg,4.5,572,"93 Stamford Road National Museum of Singapore, Singapore 178897 Singapore"
Prego,"Italian, Pizza",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/e1/48/d7/prego-singapore-wood.jpg,4.5,738,"80 Bras Basah Road Level 1, Singapore 189560 Singapore"
Peppermint,"Seafood, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/b8/01/a9/cold-station-where-chilled.jpg,4.5,931,"6 Raffles Boulevard Marina Square Level 4 of PARKROYAL COLLECTION Marina Bay, Singapore 039594 Singapore"
The Lobby Lounge,"Singaporean, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/16/ce/b7/9f/the-lobby-lounge-heritage.jpg,4.5,218,"22 Orange Grove Road Shangri-La Hotel Tower Wing, Lobby Level, Singapore 258350 Singapore"
SKAI,"Grill, Contemporary",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/14/c9/0c/b8/skai-interior.jpg,4.5,988,"2 Stamford Road, Singapore 178882 Singapore"
Sen Of Japan,"Japanese, Seafood",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1a/43/ef/ec/premium-sashimi-platter.jpg,4.5,306,"2 Bayfront Avenue Marina Bay Sands #01-86, Marina Bay Sands, Singapore 018956 Singapore"
Wakanui Grill Dining Singapore,"Steakhouse, New Zealand",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/11/22/2c/b0/wakanui-spring-lamp-chop.jpg,4.5,222,"5 Straits View The Heart #04-02, Marina One The Heart West Tower, Singapore 049858 Singapore"
Town Restaurant,"European, Singaporean",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/12/36/15/5a/international-buffet.jpg,4.5,"1,007","1 Fullerton Square The Fullerton Hotel, Singapore 049178 Singapore"
Borscht.sg,"Russian, Eastern European",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/2b/5d/ef/russian-spread.jpg,4.5,120,"32 Maxwell Road Tanjong Pagar Mrt Station Tanjong Pagar Exit B, Singapore 069115 Singapore"
Beirut Grill,"Lebanese, Mediterranean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/c5/9d/97/lamb-chops-best-in-town.jpg,4.5,643,"72 Bussorah Street, Singapore 199485 Singapore"
665°F,Steakhouse,$$$$,https://media-cdn.tripadvisor.com/media/photo-s/26/c2/cd/26/the-main-dining-area.jpg,4.5,327,"5 Fraser Street Andaz Singapore Level 38, Singapore 189354 Singapore"
The Lighthouse,"Italian, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/12/36/1b/ec/lobster-pasta.jpg,4.5,691,"1 Fullerton Square Fullerton Hotel The Fullerton Hotel, Singapore 049178 Singapore"
BLOSSOM Restaurant,"Chinese, Asian",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/15/b2/e8/88/interior.jpg,4.5,179,"Marina Bay Sands Hotel, Lobby Tower 2, #01-05/05A, 2 Bayfront Ave, 018972, Singapore Singapore"
Aromas of India,"Indian, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/04/ca/fd/82/aromas-of-india.jpg,4.5,496,"60 Race Course Road, Singapore 218567 Singapore"
Pistachio Middle Eastern & Mediterranean Grill,"Mediterranean, Middle Eastern",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1b/b1/6e/ec/pistachio-middle-eastern.jpg,4.5,504,"501 Orchard Road Wheelock Place #02 -04/05 Wheelock Place, Singapore 238880 Singapore"
Ginger,"Asian, Singaporean",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1c/2c/7c/4b/highlights-of-ginger.jpg,4.5,249,"7500 Beach Road The Plaza PARKROYAL on Beach Road, Singapore 199591 Singapore"
Tea Lounge,International,$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/10/e2/68/e5/tea-lounge-at-regent.jpg,4.5,421,"1 Cuscaden Road The Regent Singapore, Singapore 249715 Singapore"
Tablescape Restaurant & Bar,"European, Grill",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/18/19/0b/be/tablescape-620c-egg-asparagus.jpg,4.5,234,"10 Coleman Street Grand Park City Hall Level 3, Grand Park City Hall, Singapore 179809 Singapore"
Vatan Se,"Indian, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/14/4e/3b/87/car-o-bar.jpg,4.5,191,"368 Tanjong Katong Road, Singapore 437125 Singapore"
Byblos Grill,"Lebanese, Barbecue",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/1d/a2/d6/27/share-our-food.jpg,4.5,471,"14 Bussorah Street, Singapore 199435 Singapore"
Otto Ristorante,"Italian, European",$$$$,https://media-cdn.tripadvisor.com/media/photo-s/0c/44/5e/ed/photo0jpg.jpg,4.5,386,"#01-02 Red Dot Traffic Building 32 Maxwell Road, #01-02/03 Maxwell Chambers, Singapore 069115 Singapore"
Bread Street Kitchen & Bar,"European, British",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-p/1c/c3/bf/39/photo0jpg.jpg,4.0,"2,070","2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay Sands, 01-81, Singapore 018972 Singapore"
Alati Divine Greek Cuisine,"Seafood, Greek",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/15/4e/a0/07/grilled-wagyu-beef-souvlaki.jpg,4.5,347,"73 Amoy Street, Singapore 069892 Singapore"
Wing Seong Fatty's (Albert) Restaurant,"Chinese, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/08/db/1b/76/wing-seong-fatty-s-albert.jpg,4.5,695,"175 Bencoolen Street Burlington Square, Singapore 189649 Singapore"
The Curry Culture,"Indian, Asian",$$ - $$$,https://media-cdn.tripadvisor.com/media/photo-s/02/f6/25/f2/the-curry-culture.jpg,4.5,"1,092","31 Cuppage Road Cuppage Terrace Cuppage Rd, Singapore 229457 Singapore"
