topic,review
So great we had to come again!,"We came here on our first night in Singapore and it was amazing so thought we better come again before we leave. We booked again for our last night and it was the perfect end to our trip! Thank you to Sitha & Britt for the amazing cocktails, Marcus for the delicious food and a huge thank you to Peri San for the outstanding service. Thank you for treating us with complimentary cocktails, dessert & the homemade macarons. You have all made the trip special for us and one to remember.

Hopefully we can visit again soon!
Take care, from the Aussies Jorden & Taylah :)"
Hidden Gem,"We walked into this fabulous place at Shangri-La Hotel. Informed the hostess, Shelley that we had a birthday girl in our group and they gave us a complimentary slice of cake at the end of our meal, which is a nice gesture. Loved the beef platter and the dessert is so delicately done. Paul was serving our table and took time to explain the dishes. Overall great experience!"
"Fantastic food, wine, ambience and service","Brought my parents here for a birthday lunch on recommendation by a friend. Our server, Paul, was friendly and gave great suggestions to help us save and still have a satisfying meal. He also recommended a great wine to compliment the delicious steak sharing platter we had.
The ambience and setting was lovely, with a great playlist to go along with our meal.
Paul even gave us extra dessert because it was one of our birthdays. Thank you Paul!"
Good service and wine,"Been so long come back still never change the 5 star service and the wine recommendation , thank you for the wine recommend by Sitha and Britt . Thank you chef of the day name Ganesan and Ruben !!"
Delicious food and professional service,"The food was unbelievable and well priced! Thank you to the staff Vin, Roy, Autumn and Rebecca for your great service and the complimentary dessert. We will definitely return again. Cheers"
Great experience at Origin grill,"Love their interior and ambiance ! Service and food quality at Origin was completely exceed my expectation. Food was amazing. Thanks to Shelley who served us since step in to origin grill, and Vin who taking care of our table all the night. Not forgetting Chef Autumn and Aimi’s lovely dessert too ! Thank you team !"
Amazing service by Shelley,"Warm greetings by Shelley, as most of us was first time to try at origin grill we need some help to choose our food. Her explanation was very clear and really helpful, we enjoyed all the dishes that she recommend us. Served by staff Vin which keep came back to our table to make sure everything is good. Highlight to Chef Autumn and Aimi. Dessert was great! Thank you for all of your service we really enjoyed our dinner !"
Geoffrey Ambrose,"Great meal, brilliant steak for the meat eaters, even better vegan dishes for the kid, especially the deserts."
Dinner in Origin Grill,"Came here for the first time for dinner and it is the best dinner experience in Shangri La.
The food was perfect, prawn risotto, beef, lamb and grill octopus. The drinks were fantastic. Their sommeliers are really great. Dessert is super delicious too!

Service is warm and top notch. Shelley and Vin treated us like a family.. the chefs paid attention to our food choices and preparation.

Thank you to Shelley, Vin, Chef Autumn and Chef Aimi and Chef Ruben. For your wonderful service and personal touch.

Highly recommend to anyone who wants great food and fantastic ambience."
Awesome!,"Great food, great vibes and great service! Lunch set wass not very pricey, it was very worth it! Will definitely come back again!"
Amazing Food!!! Amazing Service!!!,"We went here to celebrate 2 of our friends birthdays. The tomahawk and striploin are so delicious, cooked to perfection! Ordered their desserts— all divinely amazing! The servers are all very nice, attentive, and they really made an effort to give us a memorable dinner :)"
Amazing dinner,"We had an amazing dinner for our friends birthday. Great service by Rox, Roy, Chef Reuben and Chef Nathan."
Super good food and friendly service 😍😍,"Lovely dinner, for sure will visit again. The most mildly dessert I had so good (origin milky) must try. Thanks for the friendly service Paul and yatin"
Highly Recommended,"Great ambience and quality food by Chef Rebecca. Our family really enjoyed the EXCELLENT and personal service by Roy, Paul and Pei San. Thank you to each of you for a memorable evening. We will definitely return!"
Mr Bryan,"Love the food and the service from Pei Shan. She is such a gem with great service
Attitude. Complements to the chef Marcus too! Yummy food! Steak was marvellous!"
New Year Dinner,"The food was great, ambience was amazing and the staff here is amazing. Especially Yatin, Pei San and Rox! Their service is excellent."
Beautiful flavours,"Happy New Year! What a fabulous meal to end 2022. Perfectly balanced flavours created a menu of perfection. Service from Peisan & Shafiq was exemplary, attentive but not overly so. Well done."
Great Service,The staff (Paul) was very attentive. He attended to our needs. One member of the family had a nut allergy and he made sure to check in after each dish! Overall great experience and great food :)
"Excellent service, fantastic food","Food was very good (especially beef and seafood), with a great service crew to match. Shout out to Moet, Yatin, Pei San and Chef Shafiq for the lovely dining experience"
Best memory ever,"My friends and I had good time gathering in Singapore at Origin! My friend came visit me from Taiwan. I was planning to have a best place for dinner in Singapore. Thank you Origin team. Never disappointed us. Especially big thanks to Shelley arranging dessert surprise for my friend! Not even food was delicious but also service team very professional!
We are really enjoy our date at Origin. Thank you team. Rox and Pei San taking care of us, if you looking for a place for dating. Please! Do not hesitate to visit Origin. After dinner we visit Origin bar. Best memory ever!
朋友從台灣特別來見我，謝謝Shelley 安排了甜點驚喜，這一切都很好，度過浪漫的一刻，食物好吃是基本，但連服務都很到位，讓人覺得開心！"
Excellent service during Christmas week,"My family of 3 had an incredible lunch at Origin Grill/Bar, Shangri-La Hotel in Singapore, on Tuesday 20 December. The festive 3 or 4 course lunch is delicious (particularly the beef tenderloin main dish and beautiful Alaska dessert with mango sherbert), and the restaurant setting is spacious yet elegantly cosy (with a view to the hotel's famed gardens). But what topped the experience is its incredible service -- personal, attentive, warm. Despite the hotel not having our lunch reservation on its system, we were allowed in and had a nice central round table. The service by Moet (originally from Myanmar) is particularly commendable. She was super attentive, always anticipating our needs (e.g. for extra serving plates to share courses, extra butter when she noticed our leftover rolls); she also suggested an extra dessert not on the lunch set (otherwise, we would have had 3 identical desserts). We were even more impressed that she had only worked at Origin for less than 2 months! Thank You Moet, and Thank You Origin and Shangri-La Singapore for a truly warm, memorable and beautiful festive lunch experience!"
Superb meal & service!,"First time here and definitely highly recommended! Portions were perfect for group sharing and service staff were very knowledgeable about the food and drinks and had good attention to detail. Thank you to Moet, Yatin, Jessica, Roy, Shelly and chefs and team!"
"Quality food, great ambience and service","Service and quality of food was superb. We were well guided of the menu and ambience was cozy. Thank you to the crew who served us - Moet, Yatin, Jessica, Roy and Shelly!"
Great dinner at Origin Grill,"Had a great dinner experience here, friendly hospitality, good recommendation on food and cocktails. Food from appetizer to main and to dessert are all great. We love the Kale salad, scallop, Kagoshima wagyu was *chef kiss* and melt in your mouth. Thank you!"
Wooooo hoooooo,"Moet, Yatin, Jessica, Roy and Shelly made a delightful evening even more delectable.

The meat was great, drinks appetising and desserts rounded up a perfect evening in the wonderful company of friends with many joyful memories that will last for many years to come!"
Excellent service,"Excellent service provided by Moet, Yatin, Jessica, Roy and Shelly. Food was perfect and we loved it. Thank you for the good time!"
Friendly service,My wife had an excellent meal here where we received really friendly service. A special thanks to Sitha and Shafiq who looked after us. We can highly recommend this restaurant for an excellent steak.
Parents Anniversary Dinner,"First time at the Origin Grill. The food was excellent.
Special thanks Moet, Shelly, Pei San and Roy for the amazing service and food recommendations."
Festive set lunch at Origins grill,We went to celebrate my sister’s birthday and we ordered the festive set lunch. What a sumptuous feast! The quality of food is exceptional and the service is incredible. I always have such a wonderful experience here. Moet’s service made the whole lunch even more incredible. Thanks!
"Great food, ambience and service","My wife and I chose this place for our anniversary meal. We had the Stanbroke striploin each and the doneness were on point. Vin, Yati and Moet and the rest of the friendly staff team ensured our entire visit was pleasant. We will be back to give the rest of the menu a try!"
Our Neighborhood Upscale Bar & Restaurant,"My wife and I live in the neighborhood where Origin is located. We love the Origin Bar for cocktails, and the grill has never disappointed.

The food is quality, and the service is always top notch. Staff members like Pei San are very special. She attended to special dietary and health needs, and was able to make great recommendations on the menu. More importantly, she and others do this with great personalities that makes for a good dining experience.

When we want something a bit more special within walking distance, Origin will always be our first choice."
Good service placep,"Great service level aith Paul , good location . Meat steak was good , they have good selection of meat and side dishes ."
Excellent food and service,Executive set lunch was amazing! All the dishes served were delicious and generous size. Service was top notch. Highly recommended!
To celebrate Wedding Anniversary,"Both staff, Pei San and Von were attentive and had served us patiently in explaining the menu to my husband and me for our wedding anniversary lunch last Saturday 26 Nov 22. Good service thumb up for them. Unfortunately both my husband and myself had diarrhoea after we left the restaurant an hour later. We suspect it was the appetiter Beef Tartare that we ate that had caused us the stomach upset and we had to rush home instead of continuing our celebration."
Very Impressive First Visit to Origin Grill!,"Excellent quality of food, ambiance and service from Shelly, Moët and Pei Shan. My husband and I thoroughly enjoyed our meal and time at Origin Grill on a Sunday afternoon!"
Beautiful Food and service in Origin grill,"I tried Origin new dishes today. That was lovely.
Especially the wine recommended by sommelier Sitha was went very well with our dinner.

And I had warm and excellent service from Paul and Pei san. I’m really enjoyed environment and dinner thanks to them. I will definitely visit this restaurant again.
Thank you Origin team see ya"
Nice service and food,I visit origin with my friends. Origin is always the best. Nice food and service. Thank you for all the team members kind service. Especially Pei san and Moet Also thanks for your wonderful wine recommendation Sitha! It’s superb!! thanks to you guys we had wonderful dinner. We will definitely back again!
Must Visit Grill restaurant in SG,"We had wonderful dinner here. Every food was so nice, and the atmosphere was also great. But the most impressive thing was the service. All the staff there were very knowledgeable. They explained every each dishes kindly. It was great experience to have.Especially thanks to Pei San, Vin and Shelley. See you next time!"
Great experience and wonderful service,"Origin grill has been our choice for dinner everytime we visit the hotel. Although it might seem odd, the place is actually quite child friendly. We were served by Paul this time round and he was extremely helpful and attentive to our needs. Will definitely visit again."
Great service,First visit and the service is awesome! Love the Caesar salad and great wine pairing. Worth your money
Great service and amazing dinner experience,"Recommend starter- kale salad and octopus. Both portion just nice and tasty. I enjoyed my tenderloin which
Perfectly cooked medium donees. Thank you Peishan, Shelly, Vin and Shoban take care of us. I enjoyed my birthday dinner here :)"
Anniversary dinner at the Origin Bar,"We had a lovely dinner. Ambience was lovely, food was excellent and the service by Paul was impeccable! He was knowledgeable as well as pleasant. He also took some lovely photographs for us :)"
Excellent service!,"Second visit the service here still so good, special thank you the server name call vin, she was so good, recommend some wine for us to pair our food. Also thank you the chef name shafiqto prepare the food for us,we order duck leg terrinne and Cesar salad is so good. ( is their house new ala cart menu )"
Good and nice service & food,"Regular here service and food is nice , thx for Vin help us for my booking and Shelley ,Sitha who servce me the day , but still need some comments for the food ….. food is nice but the taste every time is different, my flavor is Hokkaido scallops & seafood bisques , taste no the same every time , beef is the best which is yukimuro steak , hope the chef can manage the food got the standard."
Excellent services,"Very helpful from the staff name Shelley and Pei San … good in recommendations about dessert .. also thank you the chef Autumn and her team still have Aimi , Rebecca and Marcus come out and explain for us"
Outdated,Had a tenderloin with cauliflower and Japanese pumpkin. In general mediocre food. Feels outdated. Shangri-la's flagship restaurant needs a new head chef.
Food was good but not great,"They called it farm to table, but that focus was not clear in the menu and the one steak that was grass fed and free range was not available. The food we did have was good, but pricey. The service was attentive and professional and I wish they had more to work with in the menu."
Tranquil dinner Orgin Grill for our 18th wedding anniversary,"Enjoyed a good quiet anniversary dinner at Origin Grill in midst of busy weekend. had the appetiser dish with Hudson Valley Duck Terrine. impressed with the smoothness and good blend on savour and saucs to get all taste bud senss ready for the main course. Catch of the day with fresh prawn and trout compliment well with the sauce and side. Rangers Valley Striploin was succulent and definitely above expectation. Thanks to Shelley,Rox and Britt for their service. the beautiful ambience and wide spaced tables ensure a good private anniversary dinner."
Mother’s Birthday,"I came to origin grill with my mother to celebrate her birthday. I’m incredibly happy with the team and the food. I can deeply said that I have enjoyed myself so do my mother. I would love to thank the service team, pei san and yatin. They are friendly and helpful, volunteer to take photographs for us. I am also very grateful to have paul to serve us as well, he explained each dish carefully in detail. I would love to thank chef for coming out to check on the food and had a little talk with my mother. when I thought we are done, pual brought out a mini cake with candles for my mother and even sang her songs. thankyou for making our day and I would come again back again soon!!"
Lunch at Origin Grill Bat,"Celebrated birthday at the restaurant. The appetizer, main course and desserts were all up to mark. Also to give compliments to Paul who provided excellent service. He was patient and courteous and always with a big smile."
Lovely Experience,"Had a busy day visiting sites around Singapore so we decided to find a restaurant within the hotel - so glad we found Origin Grill. The food was lovely - we opted for risotto and sides and had an amazing bottle of wine. The staff were extremely attentive and Paul, one of the waiting staff, made the experience so much better by offering us chocolate to compliment our wine, which worked a treat! Thank you Shangri-La for allowing us this perfect dining experience."
Great service and main courses,"As usual the main courses were great. Great service from Pei San too. However, desserts will need to be improved. Had the chance to try their trial desserts but would prefer traditional sweet rather than fusion savory flavours."
Great service and delicious food,"Have an amazing dined here in my Hubby Vacation.
Food was absolutely delicious and good value. Especially the main course of the Angus Ribeye which was soft and juicy, and the Pan Roasted Seabass's skin was crackling and meat was smooth, Liked this menu very much! The restaurant has nice ambience and good atmosphere , Let us feel relax to enjoy our dining.The serving staff Paul was very attentive and thoughtful to our needs.One of the best restaurants which we were try and will definitely be back."
lovely Sunday lunch,"Dined here again to celebrate my brothers' birthday. Shelley was very welcoming. Was served by Vin and Paul who gave great suggestions and were very attentive.
Food was good especially the caesar salad, Bangalow pork chops (skin was not crackling though), mushroom risotto, steak and especially the cheese board and bluberry souffle! Liked the new menu very much! Congrats to the chef!
You have a good team of wait staff like Rox, Amanda and others. Thanks, Shoban."
Excellent,Dinner was magnificent. 5 star restaurant. Our server Paul was extremely attentive and thoughtful to our needs. One of the best restaurants in the city and will definitely be back.
Sunday lunch set,The Sunday lunch set we had was absolutely delicious and good value for money. The serving staff Paul was very courteous and friendly. The restaurant has good atmosphere n ambience. Definitely will be back.
Culinary Heaven,"My wife and I were fortunate enough to dine at the Origin Grill Shangri -La this evening. It was Culinary Heaven thanks to the most amazing Chef Nathan Griffin who is undoubtedly a master Chef and creative genius making the most spectacular and taste bud tantalising meals from starters main course and dessert. You can’t go wrong whatever you choose but if in doubt Shoban front of house makes for an authentic helper at both food and sommelier guidance and his charm adds warmth to the whole experience. Paul was our waiter and again he added joy and positive energy to the evening. We have loved Singapore made all the more special by Chef Nathan Griffin, Shoban and Paul all of whom are 10 stars if I could give it many thanks and best wishes Dickie and Heather"
Origins,"Paul made a great difference in our dining experience! He is very observant, upon seeing that we feel quite full, he quickly added a slice of lemon in our drink. He is also very knowledgeable on the dishes. Thank you very much!"
Great ambience and food.,Food is very good. Had the octopus and sharing platter and both were top notch. Paul was very attentive and his service was fantastic.
"Hit and miss food, but excellent service.","Excellent service from the crew.
Specially commending Paul who did a fantastic job taking care of us and 1 toddler.

Food however is a hit and miss situation.
1. Kids seabass came first and the fish was undercooked (shockingly) and they replaced with a well cooked one.
2. Starter Hokkaido scallops, tasted ok average.
3. Lobster Thermidor, we totally enjoyed it.
4. Pork chop, meat texture was dry and tough. Abit too salty. (Totally unexpected and not enjoyable at all)
5. Lastly, ice cream, ended on a good note"
Very good food and service,"We had fish and beef and both came out superb. The staff made good recommendations for the wine and the food and we thoroughly enjoyed ourselves. The chef is friendly and we like the lady tt recommended the food and one of the servers, Paul. Great rime and great food."
Great service and delicious food,"Had an amazing dinner with my husband at origin. Their scallop was succulent and went well with their seafood Thai broth. For my main I had the ribeye which was very juicy and delicious even though I ordered it well done .
I had their silky creamy mash potatoes as a side and the green onions gave a nice textural component to it. To top off the whole meal we went with their blueberry souffle which was recommended to us. Nice warm and fluffy which went very well with the yogurt sobert. The service was outstanding they made us feel very comfortable from the moment you entered the restaurant until the very end. They were very helpful and attentive.A special thanks to Vin, Shoban , Britt and Shelley for creating an amazing dining experience. Will definitely come back again."
Dinner at origin,"Went to have dinner at origin for the first time and was warmly welcomed by all of the staff. Had the octopus to start and it was very lovely and nicely charred. They have a nice selection of different types of beef with different cuts.Had their beef tenderloin and it was cooked perfectly.Lastly we had the blueberry souffle which was just a perfect way to end the whole meal. Service was excellent , very professional yet at the same time very friendly special thanks to Vin, Shoban , Britt and Shelley ."
Lunch with sons,"We had a very wonderful experience at the restaurant. They launch their new menu a day and we were being introduced each dish. The service by Pei San was excellent as she always cheer up the environment with her jokes and all. Autumn , Aimi and Vin are all very polite friendly and the dishes are all done well. Definitely a family environment of lunch with my wife and two sons. Thank you"
Birthday Celebration,"Food was unbelievable. We had the seafood bisque with a unique zangy citrus aftertaste to remove any seafood metallic taste. The charred octopus was juicy and the charred taste is very good. For the mains we had one of the wagyu striploin and the pork chop (recommended by our 5star server, Yatin).

We also had the fries and charred cauliflower as sides so we were too full for dessert. But there was a nice small birthday cake for me.

Overall the food was amazing and service excellent. We will definitely visit again."
Happy party of 5,We did not order any wine nor beverages but the services given was still top notch. Food was amazing. The T bone was cooked the way we like and other dishes were good too. Even though we ordered only 1 dessert to share (we were...More
Lovely food and service,"Had the set lunch and enjoyed it thoroughly. Fantastic food, lovely service ( thanks, Paul!) and reasonably priced menu. Coupon for complimentary parking also given when you dine there. All in all a great place for lunch and will return.More"
A must-go for steak lovers,"It’s my third visit here and still loving it! I had my favorite Chef’s cut kagoshima striploin, and I believe it will continue to remain as one of the best steaks I ever tried. Service was impeccable, and Pei San was attentive to us. Definitely...More"
Must Visit !,"The food is always delectable and appetizing . Also the impeccable service from the staff Paul , Rox and Shoban. Definitely worth a visit !More"
Family celebrate dinner,"Went to Origin Grill restaurant for dinner and the entire experience was great. Delicious food and beautiful environment.Special thanks to Marcus,Aini,Pei San,Vatin for the excellent service .More"
Awesome Foods and Services,"Have a great dining experiences at Origin Grill. The foods were well-cooked and taste amazing especially the Hokkaido Scallops and Pork Chop. Thanks to Chef Marcus & Chef Aimi for preparing the amazing food. Lastly, Special Thanks to Pei San, Yatin & Shelly provided the...More"
An amazing dinner experience ~,celebrating my siblings birthday at origin ~ thanks for Pei San and Rox for the kind and friendly service through out the whole dinner . Last but not least thank chef Rebecca and chef shafiq for preparing the amazing meal . For sure I will...More
Awesome food and excellence service,Great food with excellence service. Celebrate my birthday in Origins and enjoy the foods and desserts. The octopus charred with smoked paprika is awesome and the octopus is grill to excellent. Wagyu beef platter is delish with the flavour from light to the heavy side....More
Great food excellent service,"Back at origin for a birthday celebration and it never disappoints! The food is good, really enjoyed the tomatoes and goat cheese salad, the prawn and watermelon appetizer was also really good. Ordered the beef and the fish for our mains. The fish was very...More"
Great food and service. As always,"We came back to Origin Grill again for our lunch date. We were served by a professional and friendly team (Paul, Shoban, Yatin and Shelley) who always greeted us with smiles and take their time to introduce the food serve to us and it’s something...More"
Wonderful service,Our server Paul was awesome and the food was delish! Incredible beef! We had a wonderful time. Thank you very much!More
Lunch,Brunch was really delicious and affordable and not to mention the excellent service by Pei Yin😊😊😊 😊More
Good lunch & good value !!,First time having lunch with friend here ( recommend by friends ) feel surprise that the price is cheap for 3 course and big plate from appetiser to dessert 😋😋thanks for the serve name Pei san .. and the who the chef prepare for us...More
Fantastic dinner with family,"Thanks for always visit here origin restaurant never disappoint from the service who always serve us name call Yatin , vin and Shelley .. Also thanks for the chef who cook for us .. thank you so much chef Marcus , Autumn and Rebecca.. will...More"
Birthday Dinner,Went for dinner at Origin Grill to celebrate a birthday and food was pretty good! We ordered Catch of the Day (barramundi) and it was delicious! Also ordered prawn risotto and a tenderloin steak and both were great. We were served by friendly Yatin who...More
Nice food and good service,"Again here ~ food still delicious 🤤, we order the new Lunch set , ginger soup is super 😆😆, main I like the fish , thank you chef hardworking and service (Shelley,Vin,Yatin) , my family and I enjoyed our lunch here .More"
delicious！！,We made some requests to the restaurant in advance to celebrate a friend's birthday. The staff willingly accommodated our requests and provided excellent service. All the dishes in the 4 course lunch were very delicious. Especially the steak and octopus grill were delicious. Mr Shdoan...More
Pricey but absolutely worth it!,"This is coming a little late since my family dined here 6th August but we enjoyed ourselves greatly. Food was delicious, especially the in-house sourdough with caramelised onions, the cauliflower appetiser and the 2 wagyus: olive fed/snow aged. Ambience was lovely, service was impeccable. Big...More"
Great place,Mr. Paul our waiter was excellent. The food was excellent. Me and my business partners enjoyed it and it is at the end good for the business. I would always promote this to others.More
Must try the Lunch set menu!,"There is set menu for lunch. You can enjoy from appetizer, main course and dessert. It was amazing. If you haven’t tried it yet you should try! and Thank you team (Shoban, Puisan,Vin,Rox) for your wonderful service.More"
Dinner,The food is outstanding as usual. Service is top notch but unfortunately they are very short-handed. The bar is closed on Sundays and Mondays as they do not have enough staff. The discounts for hotel membership programme has also ceased.More
Felt so loved!,Dined at Origin Grill for the first time to celebrate my hubby’s birthday and we were just blown away! Excellent food and amazing service from Paul which made me and my husband incredibly happy! Paul took care of every small detail and made us feel...More
Warm and friendly welcome with competent professional advice from Paul! Unforgettable dinner!,Special thanks to Paul for his kind professional advice with warm personal touch to choose the right wine and food! Well done!More
Very nice and pleasant experience,"Was served by Paul, ever attentive and very welcoming. Had the executive set lunch menu, it was FANTASTIC. $$ but worth every penny. The kids menu spaghetti Bolognese was worth it, the chicken and fries was meh. They serve warm bread with butter before the...More"
"Lovely Ambience, Hearty Meal.","Celebrating my husband’s birthday. I opted for the Ala Carte menu. One of the best Beef Tartare we’ve had! Their take on Foie Gras was amazing too. The portions are also generous and filling. We also had the Origin Salad, Origin Octopus & tried the...More"
