topic,review
Oustanding Experience,"Food was good. The staff interaction and service was awesome. Highly recommended! Came during our annivesary, was treated with a complimentary dessert."
Great hospitality,"Food was great. Service was great! Beef, salmon was yummm! Date cake was great! Special celebration of my sons 13th Birthday."
Great Meal,Fantastic food and friendly service. We enjoyed it so much we returned and dined a second time during our trip to Singapore.
Good food and service,"I was served by a lovely lady, Hasanah. She is really efficient and very warm personality. I truly enjoyed my time and felt so comfortable being served by her. Thank you for a pleasant time. Amazing food. Ps, please make tiramisu big jar because it’s too shiok."
Food review,Service was good. The staff is friendly and quite responsive to our needs. The food was delicious and tasty
Friendly service by Khai,Food was great and the service by Khai was excellent. It will be even better if there is more variety for the type of spaghetti.
Food,The food is awesome service is good everything is prefect! The staff here is very friendly and kind. Treated like a king!!
5 star experience,"Our first time to celebrate our wedding anni. Great experience, service is great, ambience is great, food portion is great."
Friyay with good food!!,"My 2nd visit here and definitely never disappoint me! Brought my bestie along for her first time and she loves it! Served by Kai, so friendly and even came up to my table and had a chat with us. Definitely will return and and thank you Kai and team for the awesome service!!"
Excellent Italian Cuisine with even better service!,"Came today for dinner with my girlfriend and ordered the signature Boston lobster pasta set for 2. Very fresh and well-cooked dishes. Highly recommend the lobster bisque soup and Boston lobster pasta. Our servers, Khai and Hafiz were very accommodating to our needs and requests. Very friendly with personality! Will definitely return."
Lovely food and even lovelier staff,Was served by Khai and Hafiz. They were so friendly and attentive! Their service made our date night and dining experience ten times amazing ❤️🥰
Pleasant experience @ Positano Risto!,"Visited Positano Risto with my partner for our 6th Anniversary as we had a pleasant experience during our previous visit here for our 5th Anniversary. Just as expected, we had a wonderful time here, served by Khai throughout our dinner. Our food was served promptly & everything was fresh and flavourful. Khai was really friendly and helpful. He came over to our table to check on us and our food a couple of times & ensure the food is up to standards. He even served us a surprise sponge cake to celebrate our anniversary! It really made the overall experience here really great & we would definitely return with other friends and family members. Kudos to the team at Positano Risto for making our anniversary dinner memorable!"
Anniversary dinner,"Food was delicious as always, the lobster bisque was a little salty but still familiar from the last time we visited. The service provided by Khai and his mates were 10/10 and special thanks to him for surprising us w a complimentary sponge cake!! Will always try to come here for any special occasions."
Good food. Grazie mille!,"Had a great experience being attended by Yazid, who had experience in F&B and used that to enhance food flavours that I ordered. He made great recommendations and my steak was moist and full of flavour. Medium-rare steak was exceptionally well. Zero meat stuck in-between teeth. Thumbs up.

What caught my attention was, those who attended to my table (24), paid attention to who ordered what food and presented that ordered item to the customer with grace and smile. They also attentively cleared plates on my table. This is very much lacking in Singapore F&B and this restaurant did it. Grazie Mille! Keep up with this quality service and you will succeed."
Best place to celebrate birthdays and anniversary!,This is our 4th time here! We celebrated birthdays and anniversaries here. The foods were delicious and fulfilling. Thank u Khai & Yazid for the great services & the hospitality <3
👏👏👏,"All of the food and drinks we ordered tasted really great! My friends and I enjoyed the warm hospitality of Zid and the whole Positano team. They asked for feedback, clear empty tableware and top up our water. Thank you!"
Birthday Lunch,"The service was as always excellent! Our fav is the pizza and pesto linguine.
The lamb shank was Excellent too! We enjoyed our lunch here."
Great place!,"Really enjoyed the experience here! Thankful for the waiter for ensuring that everything was smooth :) The food was good and thank you to all the waiters for helping us have a great dining experience here @ Positano!

*Enjoyed the complimentary dessert, thank you once again for the lovely surprise"
Amazing place to dine in!,"Alhamdulillah, Positano never disappoints. Hubby & I’s favourite go-to. Kak Hasanah was the sweetest & even though it was our first time being served by her, she made us feel so welcomed & its as if we’ve known each other for long. All the staffs/managers were attentive the moment we stepped in front of the restaurant all the way till the end . Keep it up & will always be coming back here Love, The Skys’"
Perfection!,"Great food, excellent service, immaculate atmosphere! The waiting time was also reasonably short given that it was Sunday evening. 10/10 would recommend dining here."
Nice food,The Food potion is alot and delicious.Staff is friendly.The place location is good Best recommend is Spaghetti.Carpark is near
Food and Service Review,"The food was outstanding, service was amazing, especially Chris. Lobster was sweet and fresh, striploin steak melts in your mouth. Honey short rib was super tender, and the lasagne is probably a favourite for cheese lovers. Creme brulee was a favourite and they gave complimentary birthday cake of caramel brownie. They were superb tonight and most definitely will come back again."
superb meal +,margarita pizza & carbonara are superb & they left a rlly nice after taste afterwards!! would reccomend this to anyone :)!!
Great Customer Service,I came with my mom and the food and customer service here is great. Would love to recommend to my friends and come here again!
First time visit and definitely not our last.,"Positano over exceeded our expectations in terms of food, ambience and definitely in service. A special shoutout to our host Chris for going above and beyond. He made the whole experience that much enjoyable. Took care of all our needs and went the extra mile to get things done. Definitely a destination spot to visit."
Birthday treat,Nice ambient restaurant. Friendly and attentive staff to attend to. Food was superbly done. Taste awesome.
"Great service, ambience and amazing food","Came here to celebrate our intimate solemnisation! Staff were very attentive and caring in their service, they went the extra mile to attend to our requests and celebrated with us! Amazing food, we will be back for more!!"
Great service and absolutely delicious food!,"Nice service, great food, like the grilled chicken the most. The Mac and cheese is delicious too!

Awesome and surely will come again"
Excellent service!,"I came here with a friend to celebrate me leaving the country and was given the best services! We got free dessert!
My fav is definitely the grilled chicken and Tiramisu!
The floor manager was very friendly and nice. We were late for 10 min due to traffic and they don't mind holding the table for us!

Hope I can come again in the near future!"
"Great service, Delicious mushroom Risotto","Possibly the best halal Italian Restaurant in Singapore. The mushroom risotto was outstanding. Worth a special visit just for that dish alone.
Our server Khai was extremely attentive and knowledgeable.
A very pleasant experience overall. Highly recommended"
Great service and nice taste for the food,"Great place for catch up.

The staffs are polite and friendly, and helpful.

Highly recommend for gathering.

The food really amazing."
Excellent service,"Our trip to the restaurant was beautifully greeted and served by server named Chris. Without a doubt, even when it was challenging to bring our infant, Chris as well as his fellow colleagues helped us to accommodate our needs. Props to the team!"
Just go!!,"I’ve been to Positano a few times now and I’ve never been disappointed.
The food is delish and the standard has always been consistently good.
I always make a visit to this restaurant every time I’m in S’pore!!
That’s how good it is"
Great food and service,Food was nice and the staff is very friendly and honest with their recommendations. Overall experience was great. Highly recommend
"Fantastic food, impeccable service, unforgettable birthday celebration","Rich luscious lobster bisque, one of the best spicy soft shell crab linguine I ever had, a chocolate lava stack that cannot be missed and more! Portion was generous too!

Khai’s service was professional and very good; and was able to provide the advice and recommendations based on our preference and eating capacity.

Great food, war service and an unforgettable birthday celebration with wife and kids at Positano!

A gem not to be missed!"
Compliment,"I celebrated my wife's bday here and it was amazing. The food is amazing. Loving the beef ragu linguine and the arancini balls! Ordered the cucumber cooler, so refreshing but i think the cucumber is better off slices rather than smashed as the seed and the little bits of the cucumber will be stuck to the straw at some point. Your waiter, khai was amazing too! Constantly coming to our table to make sure we are satisfied with our orders. Promote him!"
Compliments,I celebrated my birthday with my husband here and we both had an amazing time. We enjoyed the aracini balls very much. The norweigian salmon linguine was good but i think itd look more pleasant as a fillet than chopped. But overall food taste was great! We had Khai serving us and he was so so helpful and just really tip top customer service from Khai. Thank you Khai!
Excellent food and service,"Shoutout to Yazid for being such a great host! Food was so good, made my weekend! Happy 5 year anniversary!"
Birthday lunch,"We ordered the gnocchi and wild mushroom lingune. It was very nice and satisfying to our tastebuds.

Wild mushroom soup was flavourful but would love if the bread was more.

Mozzarella ball was nice to. The pomodro sauce really complements the taste.

Tiramisu is a must have for a tiramisu lover. We also received a complimentary sticky date cake which is very warm and soft.

Staff was very friendly too.

Would come again for sure, insyaAllah."
Excellent authentic italian halal pizza,"Excellent ambience, food and service. All the staffs were friendly, attentive and gave good service especially Deputy Restaurant Manager Syed Yazid. Will definitely be a returning customer."
Best food Best service,"This is not my first time and definitely not my last visit. The food never disappoints and best service from Yazid, Khai and Aini See you again"
Birthday occasion,"Yazid welcome us with such a great service, he gave us a great seat even when we didn't make any reservation. He recommended us beef ragu and the stirloin steak and it was amazing.Not just the food but the drinks he recommended us is spot on. Thanks to him we enjoyed our dinner here at Positano Risto."
Best Hala Restaurant in Singapore,"Always visited here every month - Beef Ragu, Pesto Pesta and Oreo Stack Dessert are to die for and I always come here for the same item since 2020"
Son's 16th Birthday lunch,We got to know of this restaurant thru our friends and aren't we glad that we are able to celebrate our son's birthday here. Khai have been very helpful with the menu recommendation and the team at Positano are a gem. Will certainly come back and at the same time recommend this place to our family and friends.
Amazingly Delicious!,We came as a family to eat our fill and we had an amazing time here. The food was delicious too! My niece says she loves the restaurant and wants to come again. I suppose that says it all.
Great service at Positano,My server Kai is very friendly and accommodating. The team also smiling and friendly. Would visit again in future!
Mrs,"Good customer servise,nice food fast and delicious
All the staff was awesome.This is my 1st time surely will recommend to my friend and family"
"Good food, ambience & staff!",A great night spent with my family made special with the service of their staff. Thank you very much!
"Great food, joyful staff",Great food served by the staff. Staff was also very friendly and prompt in service. Also very accommodating to our requests! Dont miss out on this place for dinner!
Pizza is lifeeee,Marvelous food and excellent service. Kai is very attentive to our request and order. 👍👍 Another to go list when ever in this area!
Visit at Positano Risto,"We ordered calamari rings and truffle fries for our appetiser, and as for our main course, we ordered Carbonara, and Meat Pizza. The food were delectable.
As for the drinks, we ordered “the godfather” and mango tango. Both drinks were also amazing.

Yazid, the manager in charge for the evening, was friendly and accommodating. In totality, the service here was amazing."
Amazing place - would definitely come back again!,"Came with my family of 5 for my younger brother's 11th birthday and it did not disappoint! Hafiz and Khai Vonde's service was superb and they were amazing throughout the night.

Food was superb! From e starters, to the bisque, to e pasta and e pizza!!!! Everything was sooooo sedap! Your lobster bisque was e bomb srsly till we decided to order more garlic bread to go along with it! Calzone pizza was another sinful thing omg! We went really crazy lah srsly. We were few seconds late and missed e lobster so we settled for e softshell pasta and it was also nice!!!!!

Now desserts... tiramisu & creme brulee were also awesome and lastly e complimentary bday cake for my son was also yummy!

To sum it up, tq Positano and we will definitely be back for more!!!!"
Food review,"Googled what to eat and found Positano Risto. First time. Ordered the squid ink pasta. It was magnificient! Love the spiciness. Wife bought the grilled sirloin. Cook to perfection. End of with creme brulee which is by far the best I've eaten. Compliment to the server that served us on 5/11/22. Didnt catch his name. Malay server. Very professional. Knows how to engage us and gives good recommendations. Overall, enjoyed the food and service. Will be back!!"
"Great service, Great food",Food was amazing. Been a regular customer for over the years. Service given by Khai was excellent
Awesome food,Pepperoni pizza on point with the thin crust. Truffle fries tasted so good and it’s a lot. Love the mocktails especially Skywalker & Mango Delight. Love the chocolate lava cake so delicious. The staff are all so friendly. The place is clean & love the music playlist.
Awesome food & customer service,"Awesome customer service from start till end. All the staff were friendly, special shoutout to Chris for the wonderful anniversary jingle song since we were celebrating our wedding anniversary. Food was good too especially the creme brulee dessert !! Definitely coming back !!"
Not a plan dinner,"As usual, we will order the lobster bisque soup and bruschetta. These are a must to order meal. Dessert, choc lava stack is a must
Never dissapoint as always"
Lunch,"great service, enjoyed the lasagna with my friend. staff showed great responsibility in their service and made sure that our food was cooked and all good.
the lasagna itself was great. had a skywalker and my friend had the peach drink. enjoyed it. wished the skywalker itself had more to drink! really loved that drink. that is my go-to drink at positano.

do try to have a dedicated music playlist that would suit the different time of the day. as that would amplify the ambience of the restaurant itself more!"
Great service and food!!!,"This restaurant is recommended of our friends so we decided to celebrate our anniversary and my mothers bday. Kudos to Yazid and team for great hospitality extend to us, the food that they recommended are absolutely delicious. Worth every money we spent. Definitely we will return and recommend to our family and friends."
Great food and excellent service!,"The food was great! The staff were very friendly and even went beyond to serve us so we were very grateful for the dining experience! If you want good food and excellent service, highly recommend!"
Family Dinner and Bonding Time.,"Food was Awesome...we luv ❤️ it..portion and spices just Right for an Italian cuisine. Music and dining atmosphere I like it...cool ,cozy and chilled...Staff was friendly, helpful and efficient. Keep it up ... We will be back ...Cheers."
Best Food Delicacy On My Bday Celebration!,"We have softshell crab linguine & Truffle Mushroom Risotto! Awesome Food & Ambience! The outlet Manager, Christopher Limpin, surprised me with a birthday dessert! He make us so welcome at home! His service is excellent!

From Ashyla & Yvette"
Anniversary dinner,"Cheese burger patty was a little too dry.
The margarita pizza and calamari rings are a must try!!
Scarlets o'hara is out of this world. Perhaps need to add more of steak menu choices."
Birthday Celebration,"Food was great and Chris was very fun and passionate, even sang happy birthday song in italian. Overall an enjoyable experience!"
Service & Food Was Awesome😍😍,"I have been going there with my husband for a few times and their food just Soo delicious
Today I went with my family and for the first time trying out their pizza...It was perfectly done and the taste was superb
Service was on point.Everything was prepared nicely.Will surely recommend it to my friends❤️"
Excellent food and service,"We ordered the beef baked rice, mac and cheese spicy chicken pizza and creme brûlée for dessert and it was amazing. Service was honestly quite fast too for the amount of food we ordered on a busy night. No regrets celebrating our anniversary here"
Great food and great service.,"Delicious food ,nice ambience and friendly staffs....feel very welcome as we enter...shout out to Khai who serve us very polite and on the roll...plus the great food. Alhamdulillah"
Never fails,"Food is always good .. Will always keep coming back here for the food, ambience and the service.. beef short rib is the best here."
Dinner,"there was a good variety of food from the sides to the mains to the desserts. the pasta was good, the seafood really fresh andd cruncy. excellent service and good ambience. overall a very enjoyable dining experience"
Birthday dinner with family,"Fast and efficient service. Chris, the manager was very friendly and even go an extra mile to ask us if our dinner was for a birthday and even offer us a sponge cake and sing for my brother a bday song in italian and arab. Excellent!"
"Great service, decent food!","Really amazing and quick service! Chris (the assistant manager) especially was really kind and helped us celebrate a birthday lunch as well. Portion is generous and makes up for slightly above average taste. Bruschetta, eggplant parmigiano and tiramisu however were really really good! Would come back for those three items again :)"
Very very good services,"Their services is very fast n the quality of the food is really good. We get our order in less than 20mins or even faster. Their staff welcoming every customer with open heart. Chris is very gentleman, serving us n provide good information of the food.

Should have come here when you stop by Jalan Sultan, worth every penny.

5 ⭐️ for the services n food quality."
Best service best food best environment,"Thank you Khai for your excellent service... never failed to ensure that everything is fine..

I love the squid ink pasta.. tiramisu is still the best .. i love everything except for Beef Baked Rice. Just not my type. Overall.. 5* service 5* food! u are the best positano..

Will definitely come back!"
Birthday lunch treat,"Had our birthday lunch treat for bro. Wanted to go for boston lobster, too bad that they have no supply. Tried the eggplant parmigiano, superb! Lobster bisque and pesto chicken linguine is flavourful too!

Will drop by again to try more items!

The service provided is superb, staff is attentive, knowledgeable and friendly!"
Good,"Good food & good portion. Just wish they had ravioli in stock for the day :( but aside from that, service was great too"
Pepperoni Pizza & Squid Ink Pasta,"Both of the dishes so yummy (chef kiss) i love pizza more, very crunchy and the most important thing is good services and all the staff are friendly I love it ! Gonna repeat if i come to Singapore again ‍♀️❤️"
Luncheon,We ordered squid ink and pepperoni pizza. Pizza was super good (thin and crispy pizza base). Spaghetti was super goooood tooo! Very flavourful. Prawn was big and juicy. Requested for less spicy and they still made it good. Staff was friendly too :) definitely worth to try.
Met expectations.,Food was good. Portion was not bad but a tad bit pricey. Mac and cheese was a little watery tho. The starters were really good!!!
my great meal here :>,"food here is amazing, good customer service with manners!! my 3rd time here and been pleased everytime!"
My mothers birthday,The staff was very kind and very creative and planned to bring the cake to surprise my mother for her birthday excellent service and the food was of course delicious. Highly recommended:)
Awesome,"Food was great. Service was good. Repeat customer. Great ambience too! Call before coming and must have the risotto, cheeseballs, creme brulee."
Awesome service!!,"Met a friend for lunch here. I was impressed by the fantastic service by Aini, Rynn, Kai and Chris. They were all very professional and made our dining experience so much better. I appreciated how they attended to us patiently even though they were busy. We also really enjoyed the food here! Great dining experience."
Really good food,"Nice food, nice ambience, nice service. Reasonable price as well. We ate their angus ribeye steak. ."
Positano,"I ordered the fettuccine carbonara with a root beer float. The service here was really good, the staffs were very friendly and accommodating. Would definitely come by for another meal!"
Positano,"Food was delicious and portion size was worth the price.
Service was excellent. Very welcoming staff and calm atmosphere, perfect for gatherings."
Rating,Very friendly service and good food. Had a good time with friends. Food and price is reasonable. Will definitely come back
Positano,The service was good! Staff was friendly especially the manager who served us! Food tasted great as well!
Positano,The food was really good! Worth the price too! The manager was super friendly and funny! Playlist is super good and on trend too haha! Will definitely come here again!
Amazing food and service,Came here for our family lunch for the first time in 3years after Covid. We had amazing service and food and really enjoyed. We’ll come back again for sure if we have an opportunity! Thank you team!
Good Italian food and friendly service,Food and service was excellent!!! Conveniently located near my hotel. I ordered the beef ragu and highly recommend it to anyone who likes Italian food
