topic,review
Team lunch,Good view and good food. Came here for a team lunch for Christmas celebration. Can be crowded for lunch. Good view and good food. Came here for a team lunch for Christmas celebration. Can be crowded for lunch.
Food review,I like the food especially the salads. Very affordable and i like the ambience. They are accommodating as well.
Review food,Nice food and accomodating. Good ambience. Good service. Yummy delicious food. Not pricey and respectful staff
Team building lunch event,"Great food, it was a wide spread for all culinary preferences. We had a lot of food and fun. The team enjoyed the even"
Awesome salad and great food,"Earl's salads are a healthy and nutritious choice for meals and snacks. They are loaded with vitamins, minerals, and fiber, and can help to support a healthy weight and overall well-being. Adding a variety of colorful vegetables to your salads can also increase the antioxidant content, which can help to protect against chronic diseases. Salads are also a great way to add more plant-based foods to your diet, which can have numerous health benefits."
Team Lunch,Staff was attentive and served us promptly. We were very happy and the ambience is great! The Christmas menu can be modified to be more aligned with the festival.
Team building lunch with colleagues,"Visited Earle Swensen’s on peak period of December , the staff is helpful on reservation despite of full house , the restaurant manager ensure we have access to the menu prior to make advanced orders .. prompt service ! Good service!"
Lunch,"Came during weekdays, less crowd and have seat immediately. Friendly services and with free salad bar included soup choice. Nice."
Lunch buffet,Good staff service. View is very good. Salac is good. Chicken is good. Clean table. Also has a free warm drink
First time eating here,"Nice ambience, friendly staff. Came here to celebrate christmas eve. 10/10 would recommend the Golden Bun, smashed."
Earl the Best place for Team Bonding!,Spacious place for us to have the Team bonding. Great choice for foods. Food taste enjoyable! Thank you
Delicious food,Delicious food with friendly welcome staff were responsive to our request. Would recommend to come here
Pleasant experience,We were seated by warm and welcoming staff. Drinks were served immediately upon request. Definitely recommended.
Fantastic Lunch,Service is excellent and fast. Enjoys the food and ambience too. Will definitely come again for gathering with friends and colleagues.
Great Dining Ambience & Food,Aie headed to VivoCity Earle Swensen's with his family for lunch. The restaurant offers a view overlooking Sentosa which enhances the dining experience. The food served was delicious and the dining space conducive for small talk whilst dining. Will definitely be back again.
"Great food, great view!",Venue is easily accessible and the wait for the table was short even though it is around lunch time. Great place to go to for a celebratory lunch with colleagues and family!
Mr N,"Menu offered a good variety of food. Menu has changed and quality is definitely better than last time. Top up $6, you will get a good spread of buffet. Ingredients are fresh. Corn was freshly cut from the cob. Other than salad there was also fruits and seafood. Very generous. Food were in big portion, if you are not a big eater, you may want to share. Maincourses were delicious too. Staff are friendly and the ambience was cosy too."
a,very nice service and food salad bar had a wide variety and steak was cooked well. very worth it for the price
Dinner at Swenson (vivo),"Food was sublime from the first bite! So much better compared to the last time, and will definitely come back again!
We ordered steak, it was very tender and charred on the outside. Beef pasta with penne (spicy), was flavoursome, Chicken Katsu burger was juicy. We topped up just $6 for salad buffet. It offered very good spread and onion soup was delicious. Food is very high standard."
Good service,Fantastic service team. Food and ambience was good as well. Friendly and attentive team. Fresh & wide selection spread for salad bar.
Food is good and Value for $$$$$,The food has always been amazing here. Worth for the $$$ we spend here… The food taste so good even after so many years. ❤️
Nice place!,"A wonderful place to have meals with familt and friends - spacious, warm ambience. Wide variety of options, all tasty and sumptuous."
"Nice Ambience, good service",Spacious ambience and nice crew staff for service. Was an inviting atmosphere as well. Thanks for the nice experience.
Good Food,"Nice ambience, and affordable food. Friendly staff. Good place for gatherings and social meet ups. Thanks"
Spacious and decent food,Comfortable seating for our large group of seven. Came back for a second time. Food is pretty decent and affordable.
Nice ambience,Good for big groups. There are a variety of choices for the group. Good view too. Will recommend and come again.
Yummy,"Good food, relatively fast service. We were seated quickly and served water thereafter. Some items are not available on the menu at opening hours."
Value for money,We come here pretty frequently cos my daughter loves the kids meal.. recently they started the salad bar which is good value for money..
Dinner,Waiting time was short for a large group walking in for dinner. Good service and good food. …………… ….
Review on the shop,The customer service is excellent. Although we came in with a huge group they manage to make the waiting time short
Nice experience,Nice ambience amazing food. Would definitely recommend my friends and family members to come down again!
Vivo,"Positive experience, good service and excellent environment. Good dining experience fast service and good seats"
Dinner at Earle’s Swensens,Came here after my company cohesion. There was very short waiting time although there were 17 of us. Customer service was good and so was the food :)
Company bonding,The food is quite affordable for it's standard and the restaurant is extremely clean with a nice aesthetic. I ❤️ Earles
Earle Swensens Vivo City,Earle Swensens @ Vivo City is a clean and professional establishment with great service and very delicious food. The staff are extremely accommodating to us as a large group and was efficient in seating us.
COY COHESION,"Excellent food and service and salad bar too, good space for company and good drinks along with the food"
Business dinner,Extremely value for money. The salad bar has a wide variety of food. Beautiful scenery overlooking Sentosa. Highly recommended!
Good food good time,Nice place with a beautiful view. Food is great. Will come again. Salad buffet is available with many choices.
Dinner,Cozy corner and hard to find. But definitely worth it. Had a refreshing salad and US steak. Decent portion size
The salad bar is great,"Awesome view, great staff they were very accomodating for such a big group of us. I would recommend this place 👍"
Nice place!,Earle swensens has a nice ambience and spacious! Salad buffet was a good spread. Nice location with a nice view!
Good experience,"The restaurant has a really nice atmosphere, I like the choice of furniture, the colour scheme is classy and appreciate the choice of furniture."
Corporate reservation (15 Dec 2022),Reserved tables on a Thursday for early dinner for 22 pax. Good ambience and customer service! Props to Simon / Arnold for liaising with us.
Nice space,A very nice open space with good deals available. The restaurant also has a very nice view of harbour.
Great food,"Salad buffet is back, with a great variety of food as compared to last time. Nice food with nice view!"
Good Range of Food,Good quality halal western food with great overlook of Sentosa Island. Great option for couples or families
Quick lunch before catching a movie,"Nice spread of Buffett salad, keeps me occupied while waited quite awhile for the “The King” aglio olio pasta.

Surprisingly the pasta came not as warm as expected since I saw it was serve to me directly from the kitchen. Tasted too much Galic and the spaghetti were “short” and broken..

The salad bar was better."
Family friendly with decent food,The pasta dishes are good and tasty. Our kid enjoy the salad buffet selection as well as his main dish very much. Overall good ambience and service staff is polite but the waiting time can be improved.
Mrs Chia,Wide spread of salad bar. Nice ambience Fast and efficient service Nice variety of food menu Festive season food very attractive
Mr Chia,Wide spread of yummy choices Fast and courteous service Nice peaceful ambience Wide spread of salad bar
