topic,review
Great service,"Celebrated my friend birthday and the waitress Leny prepared a small cake and candle for her! She made sure we r fine and everything is ok, thank you for great service, we ll be back!"
Impressive!,"We were there for a birthday celebration. The 55th floor view, the attentive services and of course the creative and awesome food made the dining experience so memorable.

We actually found the portions generous. Ordered the grilled squid and white corn under ‘Small Plates’ and the grilled lamb and miso cod to share. The squid was beautifully done, grilled to tender perfection. We enjoyed the sweetness and crunchiness of the corn too.

The grilled lamb was full-flavoured, juicy and tender. There were 4 pcs of smokey lamb in the serving. The cod was fresh, lightly crisp and does not taste overly “fishy”, in fact it was bursting with flavours. It’s plating and presentation was also awesome.

We ordered desserts from the Fire menu which was more extensive than what were available from Flnt. Lovely presentation and definitely worth the calories!

Our appreciation to Kelvin, he was extremely prompt and attentive, he knows the restaurant’s products well and very proactive. He helped to sort out a minor mistake in the bill and rectified it swiftly."
Amazing,"Food was really good, best dishes are the white corn, sushi rice and chocolate mousse. Amazing atmosphere"
very good,"good ambience, breathtaking view, excellent service, very delicious. we ordered the tasting menu and it was just nice"
"Expansive view, worth a visit at least!","Everyone from the reception to the waitstaff were really lovely and welcoming. The lunch set was reasonably priced for the expansive view and experience. The chirashi was so colourful and pretty, different from the usual ones we get at traditional Japanese restaurants."
Excellent food and service,"Great ambience, excellent food and awesome service. View of the restaurant was outstanding and we enjoyed our experience thoroughly."
Amazing restaurant!,"Awesome food, view and hospitality.
We had a set menu which was extraordinary and extremely tasty, especially the sashimi! Like, WOW!

The city view from the high floor was very distinctive! If only the brightness of the room could be less, will be more perfect!

The hospitality was exceptional. Thank you Lenny, Suyee, and team!

Overall, 9 out of 10!"
Fabulous Service and Food,"We were well taken care by Farliani and Lenny.

The food was delectable with nice view of the orchard scenery.

Both Farliani and Lenny took initiative to help us take photos knowing it’s a special occasion.

Strong recommended!"
Awesome experience,"The service staff was very attentive and friendly to customer. Food quality was good, fresh and tasty. Lenni attended to us and was immaculate."
Team dinner,"Food was alright but nothing to wow about. Sashimi was fresh. Our main course took more than 30min to serve as kitchen was short handed and with new staff. Service was very good, especially Lenny & Heydel offered snacks and drinks while waiting for our food. They apologised sincerely and we ended our night with nice coffee & tea. Great recovery & effort by service staff"
Fantastic food,Nice view and fantastic food. Reasonably priced. Serviced by Lenny was a bliss. Had a free piece of birthday cake which is surprisingly good.
Nice view and food,Excelent food! Very quick service and perfect view once you are on the 55th floor. The kitchen closes at 8.30 pm so it’s better if you go early !
Japanese Lunch at lvl 55 ION,"The food is lovely with the freshest of sashimi and black Cod. Service is also tip top. However, had problem paying the bill as I forgot to bring my credit cards. They also do not accept cash or PayLah! or Paynow. Suggest outlet look into this financial aspect. Special thanks to Emma for solving my problem"
Great food and view,"Absolutely fantastic food, cozy ambience and the view is spectacular! Thank you Ms. Aiza for your kind hospitality. Will definitely come back for another visit!"
Stunning view and food to match!,An unforgettable sunset view for a romantic evening! At the same time enjoying unique Peruvian Japanese cuisines. Our two starters included raw dishes: octopus ceviche and warm tuna sushi and a side dish of Peruvian spiced marinated grilled chicken. The main dishes were grilled Spanish pork and grilled lamb rack. Completed our delightful meal with chocolate ice cream. Total cost with one bottle of wine and 2 aperitifs; S$467
10/10,"My partner and I had a wonderful time at FLNT. The food was amazing, the staffs were professional and the ambience was spectacular.

Looking forward to my next visit"
Amazing evening,"Our family has an enjoyable reunion dinner and birthday celebration at FLNT this year.
The view is amazing and the service of the staff made a difference too"
Great Food Great service,"All of the food was great honestly, ordered quite a handful of items from the menu and they were all fantastic. & the service there has been consistent . So keep it up .
Especially the girl who served my table, very prompt
Great experience and worth every penny i paid."
Fab views. Good food. Average service.,I had made a reservation for lunch for 2 pax. We were punctual and were escorted to our window side table with amazing views. The decor is really nice and the place looks awesome because of the tall floor to ceiling glass windows. Service could be better to be honest for a place of such opulence. The food was quite good and well presented. I liked the flavours and the lunch options on the menu are quite good in terms of price and quantity. I would love to dine here over dinner and see how amazing the views are. Would be nice to try some alcohol too.
Good food and scenery,Amazing scenery. Food was good. Ordered the cod and lamb as well as grilled squid. The sauce for the cod was great and the softness just nice. Great prompt service too (sorry could not remember her name ).
Perfect Date with Stunning View,"Celebrated our anniversary here, and everything is perfect! Not only the view is stunning, the food is lovely and most importantly, the impeccable service. We had a memorable date and thanks to the hospitable team for making it happen :)"
Compliments,"Awesome view with awesome service and food! Special thanks to Vivian and Fafa!
Vivian is the friendliest service staff I’ve ever met. She volunteered to take nice pictures for us and always so polite and attentive. Fafa is the most observant and hands on manager I’ve ever met. I dropped my chopsticks and she immediately came over with a new one without me asking. I also observed that She walks to almost all the tables to ensure all is good. She volunteered to bring us around the area when we asked about the place. Food was amazing! The chef took pride in the plating and we love the taste of every dish. It was an amazing experience and I’ll be back soon. Well done FLNT and team!"
A WOW Restaurant!,"Starting from the view (55th floor of Ion Sky), the friendly service, the cocktails and of course the food! For cocktails, must try the Peruvian Pisco Sour (that’s the grape alcohol with egg white, lemon juice & syrup) and the Kukishoku (that’s pisco with melon liqueur, citrus juice, yuzu foam and honey syrup). The tasting menu at S$128++ is amazing! Consisting fresh sashimi, octopus ceviche, foie gras with grilled sweet corn, grilled cod, and grilled lamb rack, finished by flamed seared salmon with salmon roe. Complemented with Japanese ice cream. An extraordinary experience!"
Birthday celebration at FLNT,"Food is good , beautiful view , staff are friendly and nice. We were served by Aiza, she is very polite and able to give us good recommendation for the food. We also got a piece of complimentary cake from the restaurant. Will come back again to try their other food.

The other waiter Robin is also quite a cheerful and friendly staff in the restaurant ."
Fabulous meal for a special occasion,"Great food and service with a beautiful view. It was my second meal at FLNT and it was just as great as the first time I was there shorty after the opening. Every dish was unique, balanced in flavour, and I loved all the fun textures. The service was great too. I mentioned it was for a birthday celebration, and they kindly offered a lovely slice of cake. Looking forward to be back again!

The cod was my absolute favourite dish, and the fried white shrimp were such a nice snack!"
Perfect Birthday Celebration,We were there for my wife’s birthday lunch. The place is quite romantic with a decent view from level 55. The food was well prepared with good taste. We ordered wagyu beef bento and Lamb grill. It was very satisfying! The staff was active and friendly. They even prepared a slice of cake with candle for my wife. The overall experience was quite great and i would highly recommend.
360° Amazing City View 1,"Such a fulfilling tasting menu. Exquisite & elegance layout, be it food or environment. Breathtaking view with fine dining service. Speechless!"
Birthday Celebration,Thank you for the amazing dining experience. Had lunch at FLNT for a birthday celebration. Quiet and nice place with awesome scenery. Got to know this place via Sky Premium recommendation. And i really loved it! Food is great and yummy. Reasonably priced with qualiyy food served. Pleasant and friendly service staffs. Happy with this and will definitely recommend my friends.
Fantastic! Must try!,"Fantastic dinner experience. Great food, great view and great staff! Especially Christopher who made us felt at home with his warm smile and attentiveness. Definitely will return again!"
55th floor meal and the staff service is amazing and homely.,Got to know about this place from my wife when we had our wedding anniversary there. First time having a meal at 55th floor. The view is amazing. The food is nice. But our best experience is the friendliness and homeliness of the staff name Aiza from Philippines. She is like a caring mama or big sister making sure we had a relax and comfortable time there. Thank you Aiza.
Splendid experience,"Spectacular view, good food & excellent service from from Ms Aiza, she can really take beautiful pics!! Thank you once again!! Will be back again!"
Excellent food with great view,"Food is fantastic. Servers are great, efficient and polite. Highly recommend this place if you are looking for good food in Orchard area!"
"Panoramic view, good food, great service!","The ambience is very relaxing with a wonderful panoramic view from 55th level! The food is delicious as well. More importantly, the service is excellent, especially the manager Desiree who was very friendly, helpful and patient in assisting us handle technical issues with our payment method. We feel very delighted and assured because of her. Thank you again, Desiree!"
great food!,"ordered via their delivery service online due to covid restrictions. food was excellent, especially enjoyed the ceviche!"
Great food with a view,I went there with friends for dinner and this is definitely a restaurant you can go very week ! We loved it
Great good with nice view & superb service,"The view is something u will go back for!

Had the grilled octapus, chicken skewers, chicken wings, salmon rice bowl. Food taste consistently good. It’s small portions for food but it’s good for people who don’t want it to be too filling.

Service is great! Especially from Chris & Sharifah. They always serve with an amazing smile and help me with my request.

I’ll always come back for more!"
I am a regular and always come back for more,"View is amazing, spotless service, and a daring chef that will always bring interesting combinations to your table. Worth going for sure!!!"
APPRECIATION,Staff Aiza was so nice in orienting us around the location. We had a fantastic dinner and simple cocktails at the location. The ambiance and the staffs were very nice. So thankful for a lovely night at level 55. :))
Great Personalized Service,"The restaurant was full and so we sat at bar, even though having such seats yet again the bar guys make us feel comfortable and entertained us well from start to finish and made us few bespoke cocktails and we just love it

Shoutout to Irwan! thank you once again"
Lovely ambience,The food was amazing and the view was spectacular! The service staff were attentive and friendly which made us feel extremely comfortable while we were dining at Atico. Chris was very hospitable and we had lovely conversations. Highly recommend!
Treat with a view,Food is sincere and Chris will look after you. Fantastic venue for business lunch or a diner date. Until we can gather in larger group ..
Superb food and service with an amazing view.,"Heard of this place through multiple sources, and brought my wife for a nice lunch. Loved it so much we are planning a return. It was my first time for quite a number of the Peruvian dishes, especially those lovely empanadas! Big shout out to the staff, especially Chris Netto. A total pleasure lunching here."
Amazing experience and friendly service,We had wonderful time in FLNT. Food is delicious and view is superb. Staff who served us (Aiza) was so friendly and attentive. Highly recommended.
Superb Service ‘coz of Aiza,Me & my partner had a great dining experience at FLNT. Aiza greeted us with smile and very positive aura.She is very accommodating and attentive. The food & ambiance is excellent. The service is superb because of Aiza. We will come back soon.
Awesome service and food for birthday meals,"Flnt is an awesome place for birthday meals or cosy celebration. The food, service and environment is great. The service crew is very attentive and friendly."
👍,great dining experience :-) the food was amazing the waitresses were so genuine & incredibly friendly! would definitely visit again <3
