topic,review
Good Supper Spot,"Good place especially since covid, small nice place with good ambience, staff were very friendly, cant wait to come back!!"
The Ramen Store,"Good ambiance!!! Very nice for a hang out after 12'o clock, midnight. Fast service as well!!! Food looks good!!"
Favourite Ramen Place!,We have been here countless of times and we looooove their volcano ramen and garlic fried rice. Free refills for the green tea! Nice ambience too.
Good halal Japanese food!,"I love the fried rice here! its really good, my partner enjoyed the dry ramen as well. the staff were really friendly and provided good service :)"
Great ramen,The volcano ramen was good! Came with 3 levels of spiciness. :) will come again ! Probably one of the best ramen in the area !
Best ramen,Our go to place for a good meal in bugis! The ramen's really delicious. It is really hard to find a such good ramen that is affordable. The maki are finger licking good. Staff are also very accomodating and friendly. Having our meals here never disappoints as everything; the food and service are always excellent
Healthy bowl and ramen,"Excellent service. Portion size and taste of the ramen and salmon healthy bowl was worth the price. Overall, would visit again."
Great tasting Okonoyaki!,Conveniently located along North Bridge Road. Approximately 20+ dollars a pax w drinks. Had the volcano ramen and okonoyaki. Okonoyaki is a must try!
A decent Japanese restaurant,The ramen tasted good but it was slightly on a higher price. The restaurant has a nice ambience and the staff was friendly!
A simple and average japanese restaurant. Worth to go only once. Price is quite on the high side for limited choice,There is a limited choice of ramen despite the name of the stall. Was quite disappointed with our ramen as there is barely 2 slices of beef in a bowl. Presentation is good but the price for such portion is quite high. Pleased with my unagi don though.
Volcano ramen,Wonderful ramen broth with springy ramen noodles. 1 of the best that i have tried. I am repeat customer. Definitely have to try it out. Servix emay he a bit slow during rush hour but worth the wait.
A lot of choices,"Halal Japanese food with a lot of variety. We liked their Unagi Don, ikura sushi, and tempura vegetables and soft serve Matcha ice cream."
Halal Japanese Cuisine - Umpteenth Visit,This is our umpteenth visit and still love the fresh sashimi and scrumptious tobiko and beef sushi...
Great ramen,I came for lunch with family and my sun says this is the best ramen he has ever eaten! It’s was peaceful and relatively empty on a Friday .
Amazing Halal Ramen,Really delicious japenese food. Highly recommended. Slightly pricey but its worth every penny. Perfect for family and friends
very good,"ramen was tasty , staff are very friendly and professional! wong served us , she was very polite and made us feel comfortable"
very good meal,had at pleasant meal with my friend at the ramen stall at north bridge road and Wong in particular was so so nice and professional overall it was a very nice experience 10/10 would visit again
A good place to eat!!,You should try the signature volcano ramen here!! All the ingredients inside the bowl is perfectly served. Thank me later
Halal ramen,Delicious beef ramen Mouthful Curry don Crispy gyoza Nice ambience and cozy Definitely will come dine in again
unique food,"came across the store while walking and had a meal here. food is great, can be pricey but overall will come back!"
Fantastic food and fantastic service.,"Had the volcanic ramen L3, salted pepper squid and tuna salad. I give them all 5 stars. Cooked to perfection."
Yummy Volcano Ramen 🌋,"Awesome Ramen and good food with friends :) Variety of Sushi, wish there were less items out of stick though, but could be the comeback from Covid. Coming back for sure!!"
Great Experience,The food was served a few mins upon submitting our order and they had the best customer service. The food was great and the restaurant setting was nice and cute:)
Fav place to go weekly,"Love the eggs. My heart loves the chicken heart ♥️, my tummy too. Spicy level could be increased to 4/5. brought my friends and family."
The Ramen Stall,This place is a really great restaurant if you're looking for Japanese and fusion food! We love coming here and recommend that you try this place too.
Highly recommended,"Whenever i am in this area or around Short St area, will pop by for japanese food. The restaurant is clean and comfy. Delicious food. Glad to know that they change this store at North bridge road to Halal Certified so i can dine with my muslim friends."
BEST JAPANESE HALAL FOOD AROUND,This is my 3rd time here and it never disappoints! The portion is worth the price! Staffs are very polite and friendly as well! 10/10 would recommend!! My ultimate favourite is the japanese curry rice!
Good review,Staff is very friendly and approachable. My third time here because of the quality of food served here is amazing. Will definitely come back for more
Halal Ramen. Die die must try!!,Awesome food. Great service. The volcano ramen level 3 is delicious. Easy parking. Food serve is fresh. The staff are friendly. Keep it up
Food,"Food is very nice, so is the atmosphere and staff. The chicken cha shu ramen and futomaki are my go to."
Fast service,"Wong attended to us in the afternoon. The service was smooth and fast, would definitely come again in the near future."
The ramen stall volcano ramen,"Tried the level 3 volcano ramen, sashimi ricebowl and chicken ramen. The volcano ramen was very flavourful and the spices blend well together. The chicken ramen is a better alternative for people who wants smtg thats not too heavy. The sashimi ricebowl was very well put together and overall the food options were affordable and worth it."
great food,"would come again!! delicious and affordable japanese food, great and friendly service. highly recommended"
Good food,Food was served quickly and really worth it for the price point. Excellent service and will definitely be back again for more! :)
Volcano Ramen,"Had volcano ramen ,potato salad and chicken gyoza and it was superb . Received free frozen yogurt for writing a review. But hope they bring back the matcha yogurt ."
good food,"The food is delicious and it’s worth it, definitely recommend to eat here. Abs i would eat here for the second time"
Food,i love this place so much! the food is top notch and i’ve brought my family and friends here all the time.
Go to place,visited this place alot of times to find comfort food especially when they used to open till late night. recommended!
Good sushi,"First time coming here & was recommended the sushi, and it really did not disappoint!! The seafood truffle was so good! Must try"
A must for Japanese food lover,Never fail us in every time we order. Salmon healthy bowl is our favourite! Friendly staff. We also love the mixed seafood truffle maki. Another recommended dish is Salt and pepper grilled squid!
good service,"tasty, halal food. good to come with friends especially with the scarcity of halal ramen in singapore."
Good Customer Service,Order arrive very fast and the food is very good. Good service and excellent waiter that recommends us what to eat
Best Ramen Stall in Sg,The food are good. Sashimis are fresh. Fast service and efficient. The staff are accomodating and friendly too. Totally recommended .
Try not to come alone,Must try one with whole family good food to eat nice place and the atmosphere too is verry wow staff also too helpful
Awesome spread,Awesome spread and great customer service! Definitely recommended to come here! Do try their teriyaki beef!!
Birthday Dinner,"The food is being served fast, ordered 5 mins ago, the food came quickly! waited only for 5 mins! 👍🏻👍🏻"
Amazing Japanese Cuisine!,Had an amazing dinner at The Ramen Stall. The service and food was excellent. The staff was attentive to us and were very prompt in providing us with our needs. Highly recommended!
